,Player_x,salary,first_name,last_name,Player_y,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
161,LaMelo Ball,8879979.0,lamelo,ball,LaMelo Ball,CHA,21,36,13,23,35.2,23.3,8.2,20.0,41.1,4.0,10.6,37.6,2.8,3.4,84.3,1.2,5.3,6.4,8.4,3.6,1.3,0.3,3.3,44.8,17.0,3.0,-4.2
162,Seth Curry,8748933.0,seth,curry,Seth Curry,BKN,32,61,37,24,19.8,9.2,3.4,7.4,46.3,1.5,3.8,40.5,0.8,0.9,92.7,0.2,1.4,1.6,1.6,0.8,0.6,0.1,1.6,14.9,0.0,0.0,-1.1
163,Evan Mobley,8730468.0,evan,mobley,Evan Mobley,CLE,22,79,48,31,34.4,16.2,6.6,12.0,55.4,0.3,1.3,21.6,2.6,3.8,67.4,2.4,6.6,9.0,2.8,1.8,0.8,1.5,2.8,36.2,24.0,0.0,4.3
164,Gary Payton II,8546441.0,gary,payton,Gary Payton II,GSW,30,22,13,9,16.7,4.6,1.9,3.1,59.4,0.6,1.2,50.0,0.3,0.3,85.7,1.1,2.0,3.1,1.4,0.7,1.0,0.2,2.0,13.4,0.0,0.0,1.8
165,Dewayne Dedmon,8529645.0,dewayne,dedmon,Dewayne Dedmon,PHI,33,38,23,15,11.2,5.2,2.0,4.0,51.0,0.3,1.0,30.8,0.9,1.3,67.3,0.9,2.6,3.5,0.7,0.7,0.2,0.5,2.0,12.0,0.0,0.0,-3.3
166,De'Anthony Melton,8494957.0,de'anthony,melton,De'Anthony Melton,PHI,25,77,50,27,27.9,10.1,3.6,8.5,42.5,2.0,5.2,39.0,0.9,1.1,79.3,0.9,3.2,4.1,2.6,1.3,1.6,0.5,2.5,24.0,0.0,0.0,1.3
167,JaMychal Green,8443471.0,jamychal,green,JaMychal Green,GSW,33,57,30,27,14.0,6.4,2.4,4.4,54.0,0.7,1.9,37.8,0.9,1.2,77.6,1.3,2.3,3.6,0.9,0.9,0.4,0.4,1.8,13.7,0.0,0.0,-2.7
168,Keegan Murray,8246224.0,keegan,murray,Keegan Murray,SAC,22,80,47,33,29.8,12.2,4.4,9.8,45.3,2.6,6.3,41.1,0.8,1.0,76.5,1.1,3.5,4.6,1.2,0.8,0.8,0.5,2.0,22.7,4.0,0.0,1.2
169,Kevon Looney,8237534.0,kevon,looney,Kevon Looney,GSW,27,82,44,38,23.9,7.0,3.0,4.7,63.0,0.0,0.0,0.0,1.1,1.9,60.6,3.3,5.9,9.3,2.5,0.5,0.6,0.6,2.7,25.1,14.0,0.0,1.9
170,Thaddeus Young,8237534.0,thaddeus,young,Thaddeus Young,TOR,35,54,23,31,14.7,4.4,2.0,3.7,54.5,0.1,0.6,17.6,0.3,0.5,69.2,1.3,1.8,3.1,1.4,0.8,1.0,0.1,1.6,12.7,0.0,0.0,-1.7
171,Delon Wright,8036618.0,delon,wright,Delon Wright,WAS,31,50,26,24,24.4,7.4,2.8,5.8,47.4,0.8,2.4,34.5,1.0,1.2,86.7,1.2,2.4,3.6,3.9,0.9,1.8,0.3,1.2,23.2,0.0,0.0,1.4
172,Patrick Williams,8006265.0,patrick,williams,Patrick Williams,CHI,21,82,40,42,28.3,10.2,3.8,8.3,46.4,1.4,3.4,41.5,1.1,1.3,85.7,1.0,3.0,4.0,1.2,1.2,0.9,0.9,1.8,20.7,1.0,0.0,-1.7
173,Scottie Barnes,7871581.0,scottie,barnes,Scottie Barnes,TOR,21,77,38,39,34.8,15.3,6.0,13.2,45.6,0.8,2.9,28.1,2.5,3.2,77.2,2.3,4.3,6.6,4.8,2.0,1.1,0.8,2.2,34.1,15.0,1.0,2.3
